"","ID","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","life_satisfaction","hd_occ","hd_ind","hd_wtr_unemployed","wtr_wf","hd_employ_status","wf_occ","wf_ind","hd_hrs_work_per_week","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu"
"3213",3213,1,1632,12,0,855,2015,63,1,62,0,0,1,1,0,0,5,1,4,500,737,0,5,20,20,0,5000,1,160,10,2,135,4,1,1,1,4,2,1,1,1,4,2,16,16,1
"3214",3214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3215",3215,1,1703,41,0,856,2015,78,2,0,0,0,4,2,0,0,5,3,0,0,0,0,0,0,2,0,0,4,160,2,0,0,0,0,0,0,0,0,1,1,1,0,1,12,0,2
"3216",3216,1,2343,48,0,856,2015,57,2,0,0,0,4,3,511,807,5,3,0,0,0,0,0,0,2,13000,0,4,112,0,0,0,0,0,0,0,0,0,1,1,1,2,8,14,0,2
"3217",3217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3218",3218,1,1749,41,0,856,2015,51,1,0,0,0,2,3,270,657,5,2,0,0,0,0,0,0,25,2200,0,5,150,6,0,0,0,0,0,0,0,0,1,1,5,0,0,12,0,2
"3219",3219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3220",3220,1,2157,42,0,856,2015,33,2,0,0,0,2,3,286,667,5,3,0,0,0,0,0,0,3,41566,0,3,170,4,0,0,0,0,0,0,0,0,1,1,1,4,97,16,0,2
"3221",3221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3222",3222,1,2505,22,0,856,2015,29,1,28,0,0,1,2,100,687,5,1,1,230,786,0,5,10,14,57000,57500,3,198,10,3,130,3,1,1,1,4,8,1,1,1,5,8,17,16,1
"3223",3223,1,8342,48,8,856,2015,26,1,25,0,0,1,2,720,877,5,1,1,570,707,0,5,20,2,35280,10000,3,160,8,3,140,7,1,1,1,9,1,1,2,5,0,1,10,99,8
