"","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","life_satisfaction","hd_occ","hd_ind","hd_wtr_unemployed","wtr_wf","hd_employ_status","wf_occ","wf_ind","hd_hrs_work_per_week","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu","hd_adj_income"
"87",1,6743,12,8,7,2015,23,1,19,0,0,2,3,562,489,5,1,3,423,827,0,1,5,3,9999998,9999998,1,215,6,1,170,1,1,1,5,0,0,1,1,5,0,0,12,12,8,4571724.35003607
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1,698,32,0,10,2015,71,2,0,0,0,4,2,275,916,5,3,0,0,0,0,0,0,2,3600,0,3,188,3,0,0,0,0,0,0,0,0,2,1,1,3,8,15,0,2,1645.8210951772
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1,6871,32,1,10,2015,51,2,0,1,5,4,2,461,829,1,3,0,0,0,0,0,0,10,25000,0,2,170,5,0,0,0,0,0,0,0,0,2,1,1,2,8,14,0,2,11429.3131609528
"92",1,1443,32,0,10,2015,49,1,0,0,0,2,3,425,777,5,2,0,0,0,0,0,0,6,4200,0,3,140,7,0,0,0,0,0,0,0,0,2,1,1,2,8,14,0,2,1920.12461104007
"93",1,227,32,0,10,2015,68,1,53,0,0,1,2,0,0,5,1,5,0,0,0,5,5,5,0,0,4,240,7,4,190,6,2,3,5,0,8,2,1,1,2,8,14,11,1,0
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",1,833,32,1,10,2015,39,1,0,0,0,2,4,0,0,5,2,0,0,0,0,0,0,80,0,0,5,240,7,0,0,0,0,0,0,0,0,2,2,5,0,8,11,0,2,0
"96",1,5033,32,3,10,2015,24,2,0,1,3,2,1,380,947,5,3,0,0,0,0,0,0,14,30000,0,2,190,4,0,0,0,0,0,0,0,0,2,1,1,1,8,13,0,3,13715.1757931434
